Year,January,February,March,April,May,June,July,August,September,October,November,December
2005,114.49,114.51,114.81,115.63,116.69,116.81,116.14,117.13,118.33,120.45,122.14,122.65
2006,123.57,123.84,124.18,125.84,128.20,128.63,129.72,129.15,130.81,132.47,134.18,134.49
2007,135.84,136.42,137.67,139.33,140.03,139.69,138.67,138.70,140.13,142.67,145.45,145.77
2008,146.94,148.84,150.27,152.79,155.07,154.51,155.40,155.02,155.72,159.77,161.10,160.44
2009,160.90,160.35,162.12,162.15,163.19,163.37,163.78,163.29,163.93,167.88,170.01,170.91
2010,174.07,176.59,177.62,178.68,178.04,177.04,176.19,176.90,179.07,182.35,182.40,181.85
2011,182.60,183.93,184.70,186.30,190.81,188.08,187.31,188.67,190.09,196.31,199.70,200.85
2012,201.98,203.12,203.96,207.05,206.61,204.76,204.29,205.43,207.55,211.62,212.42,213.23
2013,216.74,217.39,218.83,219.75,220.07,221.75,222.44,222.21,223.91,227.94,227.96,229.01
2014,233.54,234.54,237.18,240.37,241.32,242.07,243.17,243.40,243.74,248.37,248.82,247.72
2015,250.45,252.24,255.23,259.39,260.85,259.51,259.74,260.78,263.11,267.20,268.98,269.54
2016,274.44,274.38,274.27,276.42,278.02,279.33,282.58,281.76,282.27,286.33,287.81,292.54
2017,299.74,302.17,305.24,309.23,310.61,309.78,310.24,311.85,313.88,320.40,325.18,327.41
2018,330.75,333.17,336.48,342.78,348.34,357.44,359.41,367.66,390.84,401.27,395.48,393.88
2019,398.07,398.71,402.81,409.63,413.52,413.63,419.24,422.84,427.04,435.59,437.25,440.50
2020,446.45,448.02,450.58,454.43,460.62,465.84,468.56,472.61,477.21,487.38,498.58,504.81
2021,513.30,517.96,523.53,532.32,537.05,547.48,557.36,563.60,570.66,584.32,604.84,686.95
2022,763.23,799.93,843.64,904.79,931.76,977.90,1001.03,1015.65,1046.89,1084.00,1115.26,1128.45
2023,1203.48,1241.33,1269.75,1300.04,,,,,,,,
